#1
double OpeningHours(25,16)
0	0 	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
32400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
39600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
43200	1	1	1	1	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
46800	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1 	1	1	1	1	1
50400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
54000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
57600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
61200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
64800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
68400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
72000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
75600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
79200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
82800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

